หมายเหตุ : รายได้จากการท่องเที่ยว รวมทั้งรายได้จากนักท่องเที่ยว (Business Leisure) ที่เดินทางมาประเทศไทย ปี 2564 และนักท่องเที่ยวชาวต่างชาติที่เดินทางมาประเทศไทยก่อนปี 2564 และมีการเก็บค่าใช้จ่ายในหมวด Medical Care เนื่องจากสถานการณ์โควิด-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,,TOURISM RECEIPTS FROM INTERNATIONAL TOURIST ARRIVALS BY EXPENDITURE ITEM,,,,,,,,,
JANUARY-DECEMBER 2021,,,,,,,,,,JANUARY-DECEMBER 2021,,,,,,,,,,JANUARY-DECEMBER 2021,,,,,,,,,
Grand Total,,,,,,,,,,Inbound,,,,,,,,,,Stock,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Unit : Million Baht,,,,,,,,,,Unit : Million Baht,,,,,,,,,,Unit : Million Baht
Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-,Country,TOTAL,Shopping,Enter-,Sight-,Accom-,Food &,Local,Medical,Miscel-
of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous,of Residence,,,tainment,seeing,modation,Beverage,Transport,Care,laneous
Russia,"5,369.33",675.39,196.99,2.04,"2,307.61","1,629.09",328.15,202.00,28.06,Russia,"3,692.71",418.56,183.19,2.04,"1,720.18","1,063.10",209.09,84.17,12.38,Russia,"1,676.62",256.83,13.80,0.00,587.43,565.99,119.06,117.83,15.68
Spain,613.39,89.57,12.48,0.85,235.22,201.22,48.96,21.58,3.51,Spain,486.57,75.85,12.39,0.85,187.36,160.81,34.91,11.76,2.64,Spain,126.82,13.72,0.09,0.00,47.86,40.41,14.05,9.82,0.87
Sweden,"2,039.12",397.83,36.32,1.49,666.53,734.74,145.68,51.20,5.33,Sweden,"1,673.76",354.75,35.88,1.49,539.12,596.78,108.78,33.99,2.97,Sweden,365.36,43.08,0.44,0.00,127.41,137.96,36.90,17.21,2.36
Switzerland,"1,839.04",325.87,46.00,0.68,622.51,567.58,173.55,96.74,6.11,Switzerland,"1,460.82",272.59,45.61,0.68,508.85,460.05,123.69,44.50,4.85,Switzerland,378.22,53.28,0.39,0.00,113.66,107.53,49.86,52.24,1.26
United Kingdom,"8,602.55","1,204.37",184.46,10.58,"3,098.76","2,756.02",686.90,487.40,174.06,United Kingdom,"5,556.24",711.68,175.94,10.58,"2,031.91","1,984.59",420.29,172.39,48.86,United Kingdom,"3,046.31",492.69,8.52,0.00,"1,066.85",771.43,266.61,315.01,125.20
East Europe,"3,321.01",610.92,119.23,2.78,"1,346.48",983.53,176.93,65.74,15.40,East Europe,"2,960.13",564.94,118.70,2.78,"1,197.37",853.88,160.26,48.65,13.55,East Europe,360.88,45.98,0.53,0.00,149.11,129.65,16.67,17.09,1.85
Others in Europe,"1,438.06",286.97,58.98,7.32,363.91,602.31,84.77,30.02,3.78,Others in Europe,"1,196.76",269.64,58.93,7.32,334.03,441.84,57.03,24.63,3.34,Others in Europe,241.30,17.33,0.05,0.00,29.88,160.47,27.74,5.39,0.44
The Americas,"10,748.26","2,795.71",126.47,21.77,"3,217.20","3,180.09",711.93,660.65,34.44,The Americas,"9,393.01","2,623.05",126.11,21.75,"2,844.03","2,735.48",592.06,420.67,29.86,The Americas,"1,355.25",172.66,0.36,0.02,373.17,444.61,119.87,239.98,4.58
Argentina,59.79,14.58,1.81,0.00,21.68,16.34,3.74,1.53,0.11,Argentina,57.84,14.58,1.81,0.00,20.55,15.91,3.39,1.49,0.11,Argentina,1.95,0.00,0.00,0.00,1.13,0.43,0.35,0.04,0.00
Brazil,302.96,83.32,9.29,0.16,104.10,67.23,20.13,18.18,0.55,Brazil,286.45,81.25,9.29,0.16,99.37,62.06,18.63,15.19,0.50,Brazil,16.51,2.07,0.00,0.00,4.73,5.17,1.50,2.99,0.05
