Country,Total_Receipts,Shopping,Entertainment,Sightseeing,Accommodation,Food_Beverage,Local_Transport,Miscellaneous
Saudi Arabia,17812.53,4339.11,1076.71,472.38,6852.44,2947.87,1920.01,204.01
U.A.E.,11944.34,2145.73,715.18,268.61,4571.49,2355.6,1269.07,618.66
Yemen,669.89,163.87,31.36,14.04,230.96,138.64,68.56,22.46
Other in Middle East,660.29,127.43,83.27,12.34,228.42,124.46,65.1,19.27
Africa,7622.97,1730.32,535.93,195.74,2564.64,1357.73,860.97,377.64
Morocco,1314.3,304.74,139.7,48.49,307.17,237.57,161.55,115.08
South  Africa,2840.57,613.44,207.23,74.79,1134.69,488.85,301.29,20.28
Ethiopia,865.98,313.66,33.24,10.54,216.88,86.38,89.97,115.31
Kenya,239.98,54.21,13.06,6.35,94.03,38.84,24.62,8.87
Mauritius,818.62,247.39,66.47,24.26,261.92,131.84,86.74,0.0
Other in Africa,1543.52,196.88,76.23,31.31,549.95,374.25,196.8,118.1
Grand Total,1612602.87,324457.49,119273.81,53938.9,555383.94,350879.99,169755.22,38913.52
